timestamp,latitude,longitude,altitude,speed,battery,mission
1763730628531,47.3979,8.54616,12.016,0.0173205,50,None
1763730628732,47.3979,8.54616,12.011,0.01,50,None
1763730628932,47.3979,8.54616,12.006,0.01,50,None
1763730629132,47.3979,8.54616,12.002,0.01,50,None
1763730629332,47.3979,8.54616,11.997,0.01,50,None
1763730629532,47.3979,8.54616,11.995,0.01,50,None
1763730629732,47.3979,8.54616,11.996,0.02,50,None
1763730629932,47.3979,8.54616,11.996,0.01,50,None
1763730630132,47.3979,8.54616,11.996,0.01,50,None
1763730630332,47.3979,8.54616,11.995,0,50,None
1763730630533,47.3979,8.54616,11.993,0.01,50,None
1763730630733,47.3979,8.54616,11.989,0.0141421,50,None
1763730630933,47.3979,8.54616,11.986,0.03,50,None
1763730631133,47.3979,8.54616,11.983,0.03,50,None
1763730631333,47.3979,8.54616,11.981,0.043589,50,None
1763730631533,47.3979,8.54616,11.981,0.0469042,50,None
1763730631733,47.3979,8.54616,11.982,0.0469042,50,None
1763730631933,47.3979,8.54616,11.986,0.0374166,50,None
1763730632133,47.3979,8.54616,11.99,0.03,50,None
1763730632334,47.3979,8.54616,11.995,0.0244949,50,None
1763730632534,47.3979,8.54616,12,0.01,50,None
1763730632734,47.3979,8.54616,12.003,0.01,50,None
1763730632934,47.3979,8.54616,12.006,0.01,50,None
1763730633134,47.3979,8.54616,12.007,0.01,50,None
1763730633334,47.3979,8.54616,12.006,0,50,None
1763730633534,47.3979,8.54616,12.005,0,50,None
1763730633734,47.3979,8.54616,12.006,0.01,50,None
1763730633935,47.3979,8.54616,12.007,0.02,50,None
1763730634135,47.3979,8.54616,12.006,0.02,50,None
1763730634335,47.3979,8.54616,12.006,0.02,50,None
1763730634535,47.3979,8.54616,12.006,0.02,50,None
1763730634735,47.3979,8.54616,12.007,0.01,50,None
1763730634935,47.3979,8.54616,12.006,0,50,None
1763730635135,47.3979,8.54616,12.006,0,50,None
1763730635335,47.3979,8.54616,12.006,0,50,None
1763730635535,47.3979,8.54616,12.006,0.01,50,None
1763730635736,47.3979,8.54616,12.006,0.01,50,None
1763730635936,47.3979,8.54616,12.008,0.0141421,50,None
1763730636136,47.3979,8.54616,12.011,0.0141421,50,None
1763730636336,47.3979,8.54616,12.015,0.0141421,50,None
1763730636536,47.3979,8.54616,12.019,0.0173205,50,None
1763730636736,47.3979,8.54616,12.02,0.0173205,50,None
1763730636936,47.3979,8.54616,12.018,0.0173205,50,None
1763730637136,47.3979,8.54616,12.018,0.0173205,50,None
1763730637337,47.3979,8.54616,12.017,0.0173205,50,None
1763730637537,47.3979,8.54616,12.017,0.0141421,50,None
1763730637737,47.3979,8.54616,12.016,0.0141421,50,None
1763730637937,47.3979,8.54616,12.017,0.0141421,50,None
1763730638137,47.3979,8.54616,12.02,0.0141421,50,None
1763730638337,47.3979,8.54616,12.023,0.0173205,50,None
1763730638537,47.3979,8.54616,12.025,0.03,50,None
1763730638737,47.3979,8.54616,12.024,0.0360555,50,None
1763730638937,47.3979,8.54616,12.022,0.0360555,50,None
1763730639138,47.3979,8.54616,12.018,0.0360555,50,None
1763730639338,47.3979,8.54616,12.011,0.0223607,50,None
1763730639538,47.3979,8.54616,12.004,0.0223607,50,None
1763730639738,47.3979,8.54616,11.997,0.02,50,None
1763730639938,47.3979,8.54616,11.992,0.01,50,None
1763730640138,47.3979,8.54616,11.989,0.0141421,50,None
1763730640338,47.3979,8.54616,11.99,0.01,50,None
1763730640538,47.3979,8.54616,11.992,0.01,50,None
1763730640738,47.3979,8.54616,11.992,0.01,50,None
1763730640938,47.3979,8.54616,11.993,0,50,None
1763730641139,47.3979,8.54616,11.993,0,50,None
1763730641339,47.3979,8.54616,11.995,0.01,50,None
1763730641539,47.3979,8.54616,11.999,0.0141421,50,None
1763730641739,47.3979,8.54616,12.003,0.0223607,50,None
1763730641939,47.3979,8.54616,12.005,0.0141421,50,None
1763730642139,47.3979,8.54616,12.003,0.0223607,50,None
1763730642339,47.3979,8.54616,12.001,0.0223607,50,None
1763730642539,47.3979,8.54616,11.999,0.0223607,50,None
1763730642739,47.3979,8.54616,11.998,0.0223607,50,None
1763730642940,47.3979,8.54616,11.999,0.03,50,None
1763730643140,47.3979,8.54616,11.999,0.03,50,None
1763730643340,47.3979,8.54616,12.002,0.03,50,None
1763730643540,47.3979,8.54616,12.005,0.0316228,50,None
1763730643740,47.3979,8.54616,12.006,0.0223607,50,None
1763730643940,47.3979,8.54616,12.005,0.0223607,50,None
1763730644140,47.3979,8.54616,12.004,0.0141421,50,None
1763730644340,47.3979,8.54616,12.001,0.01,50,None
1763730644541,47.3979,8.54616,11.999,0.01,50,None
1763730644741,47.3979,8.54616,11.999,0.0141421,50,None
1763730644941,47.3979,8.54616,11.999,0.01,50,None
1763730645141,47.3979,8.54616,11.999,0.01,50,None
1763730645341,47.3979,8.54616,12,0,50,None
1763730645541,47.3979,8.54616,12.001,0,50,None
1763730645741,47.3979,8.54616,12.001,0,50,None
1763730645941,47.3979,8.54616,12.002,0,50,None
1763730646141,47.3979,8.54616,12.002,0.01,50,None
1763730646342,47.3979,8.54616,12.003,0.01,50,None
1763730646542,47.3979,8.54616,12.004,0.01,50,None
1763730646742,47.3979,8.54616,12.003,0.0141421,50,None
